equipment_port,equipment_id,process_time,allocate_rule,equipment_status
c5_54,c5,55.0,,1
c5_55,c5,55.0,,1
c5_56,c5,55.0,,1
c5_57,c5,55.0,,1
c5_58,c5,55.0,,1
c5_59,c5,55.0,,1
c5_60,c5,55.0,,1
c5_61,c5,55.0,,1
c5_62,c5,55.0,,1
c5_63,c5,55.0,,1
c5_64,c5,55.0,,1
c5_65,c5,55.0,,1
c5_66,c5,55.0,,1
c5_67,c5,55.0,,1
c5_68,c5,55.0,,1
c5_69,c5,55.0,,1
c5_70,c5,55.0,,1
c5_71,c5,55.0,,1
c5_72,c5,55.0,,1
c5_73,c5,55.0,,1
c5_74,c5,55.0,,1
c5_75,c5,55.0,,1
c5_76,c5,55.0,,1
c5_77,c5,55.0,,1
c5_78,c5,55.0,,1
c5_79,c5,55.0,,1
c5_80,c5,55.0,,1
c5_81,c5,55.0,,1
c5_82,c5,55.0,,1
c5_83,c5,55.0,,1
c5_84,c5,55.0,,1
c5_85,c5,55.0,,1
c5_86,c5,55.0,,1
c5_87,c5,55.0,,1
c5_88,c5,55.0,,1
c5_89,c5,55.0,,1
c5_90,c5,55.0,,1
c5_91,c5,55.0,,1
c5_92,c5,55.0,,1
c5_93,c5,55.0,,1
c5_94,c5,55.0,,1
c5_95,c5,55.0,,1
c5_96,c5,55.0,,1
c5_97,c5,55.0,,1
c5_98,c5,55.0,,1
c5_99,c5,55.0,,1
c5_100,c5,55.0,,1
c5_101,c5,55.0,,1
c5_102,c5,55.0,,1
c5_103,c5,55.0,,1
c5_104,c5,55.0,,1
c6_1,c6,55.0,,1
c6_2,c6,55.0,,1
c6_3,c6,55.0,,1
c6_4,c6,55.0,,1
c6_5,c6,55.0,,1
c6_6,c6,55.0,,1
c6_7,c6,55.0,,1
c6_8,c6,55.0,,1
c6_9,c6,55.0,,1
c6_10,c6,55.0,,1
c6_11,c6,55.0,,1
c6_12,c6,55.0,,1
c6_13,c6,55.0,,1
c6_14,c6,55.0,,1
c6_15,c6,55.0,,1
c6_16,c6,55.0,,1
c6_17,c6,55.0,,1
c6_18,c6,55.0,,1
c6_19,c6,55.0,,1
c6_20,c6,55.0,,1
c6_21,c6,55.0,,1
c6_22,c6,55.0,,1
c6_23,c6,55.0,,1
c6_24,c6,55.0,,1
c6_25,c6,55.0,,1
c6_26,c6,55.0,,1
c6_27,c6,55.0,,1
c6_28,c6,55.0,,1
c6_29,c6,55.0,,1
c6_30,c6,55.0,,1
c6_31,c6,55.0,,1
c6_32,c6,55.0,,1
c6_33,c6,55.0,,1
c6_34,c6,55.0,,1
c6_35,c6,55.0,,1
c6_36,c6,55.0,,1
c6_37,c6,55.0,,1
c6_38,c6,55.0,,1
c6_39,c6,55.0,,1
c6_40,c6,55.0,,1
c6_41,c6,55.0,,1
c6_42,c6,55.0,,1
c6_43,c6,55.0,,1
