equipment_port,equipment_id,dest_code,dest_type,Unnamed: 4,Unnamed: 5
c7_41,c7,411,A,,
c7_42,c7,3510,A,,
c7_43,c7,3550,A,,
c7_44,c7,3530,A,,
c7_45,c7,470,A,,
c7_46,c7,371,A,,
c7_47,c7,3950,A,,
c7_48,c7,3790,A,,
c7_49,c7,3730,A,,
c7_50,c7,377,A,,
c7_51,c7,311,A,,
c7_52,c7,312,A,,
c7_53,c7,4720,A,,
c7_54,c7,4360,A,,
c7_55,c7,762,A,,
c7_56,c7,756,A,,
c7_57,c7,760,A,,
c7_58,c7,6620,A,,
c7_59,c7,020WD,A,,
c7_60,c7,020W,A,,
c7_61,c7,020WE,A,,
c7_62,c7,898,A,,
c7_63,c7,8981,A,,
c7_64,c7,023,A,,
c7_65,c7,8300,A,,
c7_66,c7,8910,A,,
c7_67,c7,8170,A,,
c7_68,c7,8320,A,,
c7_69,c7,8330,A,,
c7_70,c7,023,A,,
c7_71,c7,028,A,,
c7_72,c7,532,A,,
c7_73,c7,536,A,,
c7_74,c7,539,A,,
c7_75,c7,5330,A,,
c7_76,c7,632,A,,
c7_77,c7,633,A,,
c7_78,c7,546,A,,
c7_79,c7,7440,A,,
c7_80,c7,734,A,,
c7_81,c7,7300,A,,
c7_82,c7,7311,A,,
c7_83,c7,73120,A,,
c7_84,c7,591,A,,
c7_85,c7,592,A,,
c7_86,c7,599,A,,
c7_87,c7,598,A,,
c7_88,c7,593,A,,
c7_89,c7,597,A,,
c7_90,c7,594,A,,
c7_91,c7,595,A,,
c7_92,c7,531,A,,
c7_93,c7,5300,A,,
c7_94,c7,537,A,,
c7_95,c7,5340,A,,
c7_96,c7,631,A,,
c7_97,c7,535,A,,
c7_98,c7,027,A,,
c7_99,c7,718,A,,
c7_100,c7,7120,A,,
c7_101,c7,717,A,,
c7_102,c7,452,A,,
c7_103,c7,711,A,,
c7_104,c7,7280,A,,
c8_1,c8,,L,,
c8_2,c8,,L,,
c8_3,c8,,L,,
c8_4,c8,COS,L,,
c8_5,c8,RMS,L,,
c8_6,c8,T801,L,,
c8_7,c8,853,L,,A
c8_8,c8,886,L,,A
c8_9,c8,793,L,,
c8_10,c8,791,L,,
c8_11,c8,798,L,,
c8_12,c8,794,L,,
c8_13,c8,792,L,,
c8_14,c8,795,L,,
c8_15,c8,701,L,,
c8_16,c8,799,L,,
c8_17,c8,796,L,,
c8_18,c8,797,L,,
c8_19,c8,790,L,,
c8_20,c8,563,L,,
c8_21,c8,559,L,,
c8_22,c8,553,L,,
c8_23,c8,5520,L,,
c8_24,c8,5560,L,,
c8_25,c8,550,L,,
c8_26,c8,555,L,,
c8_27,c8,551,L,,
c8_28,c8,566,L,,
c8_29,c8,562,L,,
c8_30,c8,571XA,L,,
c8_31,c8,917,L,,A
c8_32,c8,816,L,,A
c8_33,c8,432,L,,A
c8_34,c8,753,L,,A
c8_35,c8,319,L,,A
c8_36,c8,459,L,,A
c8_37,c8,750,L,,A
c8_38,c8,310,L,,A
c8_39,c8,415,L,,A
c8_40,c8,335,L,,A
c8_41,c8,912,L,,A
c8_42,c8,476,L,,A
c8_43,c8,318,L,,A
c8_44,c8,359,L,,A
c8_45,c8,818,L,,A
c8_46,c8,834,L,,A
c8_47,c8,378,L,,A
c8_48,c8,475,L,,A
c8_49,c8,660,L,,A
c8_50,c8,768,L,,A
c8_51,c8,314,L,,A
c8_52,c8,453,L,,A
c8_53,c8,571,L,,
c8_54,c8,575W,L,,
c8_55,c8,575WA,L,,
c8_56,c8,575D,L,,
c8_57,c8,575K,L,,
c8_58,c8,575EC,L,,
c8_59,c8,577,L,,
c8_60,c8,574W,L,,
c8_61,c8,574WA,L,,
c8_62,c8,512WB,L,,
c8_63,c8,512WA,L,,
c8_64,c8,512WC,L,,
c8_65,c8,579WA,L,,
c8_66,c8,579WB,L,,
c8_67,c8,021,L,,
c8_68,c8,025,L,,
c8_69,c8,573,L,,
c8_70,c8,515,L,,
c8_71,c8,510,L,,
c8_72,c8,5170,L,,
c8_73,c8,523,L,,
c8_74,c8,570,L,,
c8_75,c8,578,L,,
c8_76,c8,519,L,,
c8_77,c8,516,L,,
c8_78,c8,513,L,,
c8_79,c8,514,L,,
c8_80,c8,511,L,,
c8_81,c8,518,L,,
c8_82,c8,512W,L,,
c8_83,c8,028,L,,A
c8_84,c8,976,L,,A
c8_85,c8,875,L,,A
c8_86,c8,894,L,,A
c8_87,c8,421,L,,A
c8_88,c8,414,L,,A
c8_89,c8,088,L,,A
c8_90,c8,358,L,,A
c8_91,c8,479,L,,A
c8_92,c8,474,L,,A
c8_93,c8,452,L,,A
c8_94,c8,979,L,,A
c8_95,c8,477,L,,A
c8_96,c8,433,L,,A
c8_97,c8,313,L,,A
c8_98,c8,774,L,,A
c8_99,c8,691,L,,A
c8_100,c8,771,L,,A
c8_101,c8,772,L,,A
c8_102,c8,7750,L,,A
c8_103,c8,7760,L,,A
c8_104,c8,773,L,,A
c9_1,c9,,,,
c9_2,c9,,,,
c9_3,c9,,,,
c9_4,c9,,,,
c9_5,c9,,,,
c9_6,c9,,,,
c9_7,c9,,,,
c9_8,c9,,,,
c9_9,c9,,,,
c9_10,c9,,,,
c9_11,c9,,,,
c9_12,c9,,,,
c9_13,c9,,,,
c9_14,c9,,,,
c9_15,c9,,,,
c9_16,c9,,,,
c9_17,c9,,,,
c9_18,c9,,,,
c9_19,c9,,,,
c9_20,c9,,,,
c9_21,c9,,,,
c9_22,c9,,,,
c9_23,c9,,,,
c9_24,c9,,,,
c9_25,c9,,,,
c9_26,c9,,,,
c9_27,c9,,,,
c9_28,c9,570,L,,
c9_29,c9,572,L,,
c9_30,c9,573,L,,
c9_31,c9,576,L,,
c9_32,c9,578,L,,
c9_33,c9,579WB,L,,
c9_34,c9,579WA,L,,
c9_35,c9,580,L,,
c9_36,c9,574KC,L,,
c9_37,c9,574DF,L,,
c9_38,c9,574FC,L,,
c9_39,c9,574GE,L,,
c9_40,c9,574B,L,,
c9_41,c9,574GA,L,,
c9_42,c9,574ED,L,,
c9_43,c9,574DC,L,,
c9_44,c9,574EF,L,,
c9_45,c9,574ES,L,,
