pipeline_id,package_id,time_stamp,action
"('r1_2', 'm1_1')",388864,7136.400000000005,start
"('r1_2', 'm1_1')",388864,7177.770000000005,end
"('r1_2', 'm1_1')",388865,7136.400000000005,start
"('r1_2', 'm1_1')",388865,7177.770000000005,end
"('r1_2', 'm1_1')",389511,7141.200000000005,start
"('r1_2', 'm1_1')",389511,7182.570000000005,end
"('r1_2', 'm1_1')",389512,7141.200000000005,start
"('r1_2', 'm1_1')",389512,7182.570000000005,end
"('r1_2', 'm1_1')",389513,7146.0000000000055,start
"('r1_2', 'm1_1')",389513,7187.370000000005,end
"('r1_2', 'm1_1')",389514,7146.0000000000055,start
"('r1_2', 'm1_1')",389514,7187.370000000005,end
"('r1_2', 'm1_1')",389515,7150.800000000006,start
"('r1_2', 'm1_1')",389515,7192.1700000000055,end
"('r1_2', 'm1_1')",389516,7150.800000000006,start
"('r1_2', 'm1_1')",389516,7192.1700000000055,end
"('r1_2', 'm1_1')",389517,7155.600000000006,start
"('r1_2', 'm1_1')",389517,7196.970000000006,end
"('r1_2', 'm1_1')",392769,7155.600000000006,start
"('r1_2', 'm1_1')",392769,7196.970000000006,end
"('r1_2', 'm1_1')",392770,7160.400000000006,start
"('r1_2', 'm1_1')",392770,7201.770000000006,end
"('r1_2', 'm1_1')",392771,7160.400000000006,start
"('r1_2', 'm1_1')",392771,7201.770000000006,end
"('r1_2', 'm1_1')",392804,7165.200000000006,start
"('r1_2', 'm1_1')",392804,7206.570000000006,end
"('r1_2', 'm1_1')",392805,7165.200000000006,start
"('r1_2', 'm1_1')",392805,7206.570000000006,end
"('r1_2', 'm1_1')",393300,7170.000000000006,start
"('r1_2', 'm1_1')",393300,7211.370000000006,end
"('r1_2', 'm1_1')",394225,7170.000000000006,start
"('r1_2', 'm1_1')",394225,7211.370000000006,end
"('r1_2', 'm1_1')",394226,7174.800000000007,start
"('r1_2', 'm1_1')",394226,7216.170000000006,end
"('r1_2', 'm1_1')",394228,7174.800000000007,start
"('r1_2', 'm1_1')",394228,7216.170000000006,end
"('r1_2', 'm1_1')",394229,7179.600000000007,start
"('r1_2', 'm1_1')",394229,7220.970000000007,end
"('r1_2', 'm1_1')",394230,7179.600000000007,start
"('r1_2', 'm1_1')",394230,7220.970000000007,end
"('r1_2', 'm1_1')",394231,7184.400000000007,start
"('r1_2', 'm1_1')",394231,7225.770000000007,end
"('r1_2', 'm1_1')",394233,7184.400000000007,start
"('r1_2', 'm1_1')",394233,7225.770000000007,end
"('r1_2', 'm1_1')",394234,7189.200000000007,start
"('r1_2', 'm1_1')",394234,7230.570000000007,end
"('r1_2', 'm1_1')",1828,12504.8,start
"('r1_2', 'm1_1')",1828,12546.17,end
"('r1_2', 'm1_1')",367,12504.8,start
"('r1_2', 'm1_1')",367,12546.17,end
"('r1_2', 'm1_1')",384694,12509.599999999999,start
"('r1_2', 'm1_1')",384694,12550.97,end
"('r1_2', 'm1_1')",389165,12509.599999999999,start
"('r1_2', 'm1_1')",389165,12550.97,end
"('r1_2', 'm1_1')",385239,16928.8,start
"('r1_2', 'm1_1')",385239,16970.17,end
"('r1_2', 'm1_1')",389685,26423.8,start
"('r1_2', 'm1_1')",389685,26465.17,end
"('r1_2', 'm1_1')",394133,27472.8,start
"('r1_2', 'm1_1')",394133,27514.17,end
