equipment_id,truck_id,truck_type,time_stamp,action,store_size,real_time_stamp,run_time
r5_1,334587700126,LA,7799.780000000002,end,12,2017-07-25 23:09:59.780,2017-08-29 10:01:50.972091
truck,338704689062,LA,7857.000000000001,wait,1,2017-07-25 23:10:57.000,2017-08-29 10:01:50.972091
r4_1,338704689062,LA,7857.000000000001,start,1,2017-07-25 23:10:57.000,2017-08-29 10:01:50.972091
r4_1,338704689062,LA,7860.130000000001,end,1,2017-07-25 23:11:00.130,2017-08-29 10:01:50.972091
truck,338725854071,LA,7882.000000000001,wait,1,2017-07-25 23:11:22.000,2017-08-29 10:01:50.972091
r3_1,338725854071,LA,7882.000000000001,start,1,2017-07-25 23:11:22.000,2017-08-29 10:01:50.972091
r3_1,338725854071,LA,7885.130000000001,end,1,2017-07-25 23:11:25.130,2017-08-29 10:01:50.972091
truck,338749675708,LA,7912.000000000001,wait,1,2017-07-25 23:11:52.000,2017-08-29 10:01:50.972091
r5_1,338749675708,LA,7912.000000000001,start,1,2017-07-25 23:11:52.000,2017-08-29 10:01:50.972091
r5_1,338749675708,LA,7915.130000000001,end,1,2017-07-25 23:11:55.130,2017-08-29 10:01:50.972091
truck,338508296153,LA,8017.000000000001,wait,1,2017-07-25 23:13:37.000,2017-08-29 10:01:50.972091
r4_1,338508296153,LA,8017.000000000001,start,1,2017-07-25 23:13:37.000,2017-08-29 10:01:50.972091
r4_1,338508296153,LA,8020.130000000001,end,1,2017-07-25 23:13:40.130,2017-08-29 10:01:50.972091
truck,327950,AL,8242.0,wait,1,2017-07-25 23:17:22.000,2017-08-29 10:01:50.972091
a1_1,327950,AL,8242.0,start,1,2017-07-25 23:17:22.000,2017-08-29 10:01:50.972091
a1_1,327950,AL,8242.0,end,1,2017-07-25 23:17:22.000,2017-08-29 10:01:50.972091
truck,339459621033,LL,8495.0,wait,2,2017-07-25 23:21:35.000,2017-08-29 10:01:50.972091
r1_2,339459621033,LL,8495.0,start,2,2017-07-25 23:21:35.000,2017-08-29 10:01:50.972091
r1_2,339459621033,LL,8498.68,end,2,2017-07-25 23:21:38.680,2017-08-29 10:01:50.972091
truck,336984802198,LA,8619.0,wait,5,2017-07-25 23:23:39.000,2017-08-29 10:01:50.972091
r3_1,336984802198,LA,8619.0,start,5,2017-07-25 23:23:39.000,2017-08-29 10:01:50.972091
r3_1,336984802198,LA,8628.389999999998,end,5,2017-07-25 23:23:48.390,2017-08-29 10:01:50.972091
truck,339908879184,LA,8708.0,wait,5,2017-07-25 23:25:08.000,2017-08-29 10:01:50.972091
r4_1,339908879184,LA,8708.0,start,5,2017-07-25 23:25:08.000,2017-08-29 10:01:50.972091
r4_1,339908879184,LA,8717.389999999998,end,5,2017-07-25 23:25:17.390,2017-08-29 10:01:50.972091
truck,339362112388,LA,8665.0,wait,83,2017-07-25 23:24:25.000,2017-08-29 10:01:50.972091
r5_1,339362112388,LA,8665.0,start,83,2017-07-25 23:24:25.000,2017-08-29 10:01:50.972091
r5_1,339362112388,LA,8796.459999999966,end,83,2017-07-25 23:26:36.460,2017-08-29 10:01:50.972091
truck,338066748356,LA,8862.0,wait,5,2017-07-25 23:27:42.000,2017-08-29 10:01:50.972091
r3_1,338066748356,LA,8862.0,start,5,2017-07-25 23:27:42.000,2017-08-29 10:01:50.972091
r3_1,338066748356,LA,8871.389999999998,end,5,2017-07-25 23:27:51.390,2017-08-29 10:01:50.972091
truck,339220876077,LL,8900.0,wait,1,2017-07-25 23:28:20.000,2017-08-29 10:01:50.972091
r1_2,339220876077,LL,8900.0,start,1,2017-07-25 23:28:20.000,2017-08-29 10:01:50.972091
r1_2,339220876077,LL,8903.68,end,1,2017-07-25 23:28:23.680,2017-08-29 10:01:50.972091
truck,339511040002,LL,8945.0,wait,2,2017-07-25 23:29:05.000,2017-08-29 10:01:50.972091
r4_1,339511040002,LL,8945.0,start,2,2017-07-25 23:29:05.000,2017-08-29 10:01:50.972091
r4_1,339511040002,LL,8948.13,end,2,2017-07-25 23:29:08.130,2017-08-29 10:01:50.972091
truck,339511040020,LA,8992.0,wait,1,2017-07-25 23:29:52.000,2017-08-29 10:01:50.972091
r5_1,339511040020,LA,8992.0,start,1,2017-07-25 23:29:52.000,2017-08-29 10:01:50.972091
