parcel_id,small_id,parcel_type,start_node,ident_des_zno,sorter_type,dest_type,ret_path,run_time
980000000138,716268,small,j41_1,533,small_sort,A,j41_1:i17_4:c16_25,2017-08-29 10:01:50.972091
327939,327939,parcel,a2_3,991,reload,A,a2_3:m4_1:i17_4:c16_6,2017-08-29 10:01:50.972091
980000000140,713372,small,c5_97,535,small_sort,A,c5_97:j41_1:i24_1:i23_1:c17_14,2017-08-29 10:01:50.972091
980000000140,713372,small,j41_1,535,small_sort,A,j41_1:i17_4:c17_14,2017-08-29 10:01:50.972091
980000000172,657609,small,c5_92,531,small_sort,A,c5_92:j41_1:i17_4:c17_20,2017-08-29 10:01:50.972091
980000000172,657609,small,j41_1,531,small_sort,A,j41_1:i17_4:c17_20,2017-08-29 10:01:50.972091
980000000011,723976,small,c5_72,532,small_sort,A,c5_72:j41_1:i17_4:c17_24,2017-08-29 10:01:50.972091
980000000011,723976,small,j41_1,532,small_sort,A,j41_1:i17_4:c17_22,2017-08-29 10:01:50.972091
980000000111,705857,small,c5_72,532,small_sort,A,c5_72:j41_1:i24_1:i23_1:c17_22,2017-08-29 10:01:50.972091
980000000111,705857,small,j41_1,532,small_sort,A,j41_1:i17_4:c17_22,2017-08-29 10:01:50.972091
980000000067,735849,small,c6_72,532,small_sort,A,c6_72:j41_1:i24_1:i23_2:c16_21,2017-08-29 10:01:50.972091
980000000067,735849,small,j41_1,532,small_sort,A,j41_1:i17_4:c17_24,2017-08-29 10:01:50.972091
980000000245,738126,small,c6_75,533,small_sort,A,c6_75:j41_1:i24_1:i23_1:c17_22,2017-08-29 10:01:50.972091
980000000245,738126,small,j41_1,533,small_sort,A,j41_1:i17_4:c17_24,2017-08-29 10:01:50.972091
980000000073,731868,small,c5_42,351,small_sort,A,c5_42:j41_1:i17_4:c17_3,2017-08-29 10:01:50.972091
980000000073,731868,small,j41_1,351,small_sort,A,j41_1:i17_4:c17_3,2017-08-29 10:01:50.972091
980000000064,659520,small,c6_54,482,small_sort,A,c6_54:j41_1:i17_4:i20_1:c13_18,2017-08-29 10:01:50.972091
980000000064,659520,small,j41_1,482,small_sort,A,j41_1:i17_4:c17_4,2017-08-29 10:01:50.972091
980000000119,705858,small,c6_51,311,small_sort,A,c6_51:j41_1:i24_1:i23_1:c17_5,2017-08-29 10:01:50.972091
980000000119,705858,small,j41_1,311,small_sort,A,j41_1:i17_4:c17_7,2017-08-29 10:01:50.972091
980000000146,675698,small,c6_51,311,small_sort,A,c6_51:j41_1:i24_1:i23_2:c17_7,2017-08-29 10:01:50.972091
980000000146,675698,small,j41_1,311,small_sort,A,j41_1:i17_4:c17_7,2017-08-29 10:01:50.972091
980000000163,702173,small,c5_27,029,small_sort,A,c5_27:j41_1:i17_4:c18_12,2017-08-29 10:01:50.972091
980000000163,702173,small,j41_1,029,small_sort,A,j41_1:i17_4:c18_10,2017-08-29 10:01:50.972091
328002,328002,parcel,a1_1,029,reload,A,a1_1:m4_2:i17_4:c18_12,2017-08-29 10:01:50.972091
327749,327749,parcel,a2_6,029,reload,A,a2_6:m4_3:i17_4:c18_14,2017-08-29 10:01:50.972091
980000000166,705870,small,c5_38,427,small_sort,A,c5_38:j41_1:i17_4:c18_15,2017-08-29 10:01:50.972091
980000000166,705870,small,j41_1,427,small_sort,A,j41_1:i17_4:c18_15,2017-08-29 10:01:50.972091
980000000175,736484,small,c6_28,916,small_sort,A,c6_28:j41_1:i24_1:i23_1:c18_16,2017-08-29 10:01:50.972091
980000000175,736484,small,j41_1,916,small_sort,A,j41_1:i17_4:c18_16,2017-08-29 10:01:50.972091
980000000142,678145,small,c6_35,456,small_sort,A,c6_35:j41_1:i17_4:c18_17,2017-08-29 10:01:50.972091
980000000142,678145,small,j41_1,456,small_sort,A,j41_1:i17_4:c18_17,2017-08-29 10:01:50.972091
980000000106,696016,small,c5_35,469,small_sort,A,c5_35:j41_1:i24_1:i23_2:c18_17,2017-08-29 10:01:50.972091
980000000106,696016,small,j41_1,469,small_sort,A,j41_1:i17_4:c18_17,2017-08-29 10:01:50.972091
980000000022,672967,small,c6_36,024,small_sort,A,c6_36:j41_1:i24_1:e5_1:h3_1:x14_1:i23_1:c18_2,2017-08-29 10:01:50.972091
980000000022,672967,small,j41_1,024,small_sort,A,j41_1:i17_4:c18_2,2017-08-29 10:01:50.972091
980000000143,673984,small,c6_36,024,small_sort,A,c6_36:j41_1:i17_4:c18_2,2017-08-29 10:01:50.972091
980000000143,673984,small,j41_1,024,small_sort,A,j41_1:i17_4:c18_2,2017-08-29 10:01:50.972091
980000000195,701830,small,c5_22,851,small_sort,A,c5_22:j41_1:i17_4:c16_18,2017-08-29 10:01:50.972091
980000000195,701830,small,j41_1,851,small_sort,A,j41_1:i17_4:c18_20,2017-08-29 10:01:50.972091
