equipment_id,package_id,time_stamp,action
i6_1,389457,696.07,wait
i6_1,389457,696.07,start
i6_1,389457,722.9100000000001,end
4,389457,722.9100000000001,wait
r3_8,389458,0.0,wait
r3_8,389458,105.59999999999997,start
r3_8,389458,110.39999999999996,end
m2_7,389458,168.30999999999995,wait
m2_7,389458,183.62,start
m2_7,389458,186.62,end
i7_2,389458,244.53,wait
m2_7,389458,255.62,start
m2_7,389458,258.62,end
i6_1,389458,491.47,wait
c4_2,389458,699.07,wait
i6_1,389458,699.07,wait
i6_1,389458,699.07,start
i6_1,389458,725.9100000000001,end
4,389458,725.9100000000001,wait
r3_8,389459,0.0,wait
r3_8,389459,110.39999999999996,start
r3_8,389459,115.19999999999996,end
m2_7,389459,173.10999999999996,wait
m2_7,389459,189.62,start
m2_7,389459,192.62,end
i7_2,389459,250.53,wait
m2_7,389459,255.62,start
m2_7,389459,258.62,end
i6_2,389459,491.47,wait
c4_2,389459,699.07,wait
i6_2,389459,699.07,wait
i6_2,389459,699.07,start
i6_2,389459,725.9100000000001,end
4,389459,725.9100000000001,wait
r3_8,389468,0.0,wait
r3_8,389468,129.59999999999997,start
r3_8,389468,134.39999999999998,end
m2_7,389468,192.30999999999997,wait
m2_7,389468,210.62,start
m2_7,389468,213.62,end
i7_2,389468,271.53,wait
m2_7,389468,271.53,start
m2_7,389468,274.53,end
i6_1,389468,507.38,wait
c4_2,389468,714.98,wait
i6_1,389468,714.98,wait
i6_1,389468,714.98,start
i6_1,389468,741.82,end
4,389468,741.82,wait
r3_8,389477,0.0,wait
r3_8,389477,153.60000000000002,start
r3_8,389477,158.40000000000003,end
m2_7,389477,216.31000000000003,wait
m2_7,389477,237.62,start
m2_7,389477,240.62,end
i7_2,389477,298.53,wait
m2_7,389477,298.53,start
m2_7,389477,301.53,end
i6_2,389477,534.38,wait
c4_2,389477,741.98,wait
i6_2,389477,741.98,wait
i6_2,389477,741.98,start
i6_2,389477,768.82,end
4,389477,768.82,wait
r1_2,386367,254.00000000000003,wait
r1_2,386367,300.0,start
r1_2,386367,304.8,end
m1_1,386367,346.17,wait
m1_1,386367,346.17,start
m1_1,386367,349.17,end
i7_1,386367,390.54,wait
m1_1,386367,390.54,start
m1_1,386367,393.54,end
e2_1,386367,530.4300000000001,wait
i7_1,386367,530.4300000000001,wait
i7_1,386367,530.4300000000001,start
i7_1,386367,1006.4300000000001,end
h2_1,386367,1006.4300000000001,wait
e2_1,386367,1006.4300000000001,start
e2_1,386367,1006.4300000000001,end
x9_1,386367,1053.6100000000001,wait
h2_1,386367,1053.6100000000001,start
h2_1,386367,1068.6100000000001,end
x4_1,386367,1166.23,wait
x9_1,386367,1166.23,start
x9_1,386367,1166.23,end
x5_1,386367,1227.39,wait
x4_1,386367,1227.39,start
x4_1,386367,1227.39,end
i5_4,386367,1261.8200000000002,wait
x5_1,386367,1261.8200000000002,start
x5_1,386367,1261.8200000000002,end
c4_2,386367,1289.8700000000001,wait
i5_4,386367,1289.8700000000001,wait
i5_4,386367,1289.8700000000001,start
i5_4,386367,1327.91,end
4,386367,1327.91,wait
r3_8,389478,0.0,wait
r3_8,389478,153.60000000000002,start
r3_8,389478,158.40000000000003,end
m2_7,389478,216.31000000000003,wait
m2_7,389478,237.62,start
m2_7,389478,240.62,end
i7_2,389478,298.53,wait
m2_7,389478,298.53,start
m2_7,389478,301.53,end
e2_1,389478,534.38,wait
i7_2,389478,534.38,wait
i7_2,389478,534.38,start
i7_2,389478,1010.38,end
h2_1,389478,1010.38,wait
e2_1,389478,1010.38,start
e2_1,389478,1010.38,end
x9_1,389478,1057.56,wait
h2_1,389478,1057.56,start
h2_1,389478,1072.56,end
x4_1,389478,1170.1799999999998,wait
x9_1,389478,1170.1799999999998,start
x9_1,389478,1170.1799999999998,end
x5_1,389478,1231.34,wait
x4_1,389478,1231.34,start
x4_1,389478,1231.34,end
i5_4,389478,1265.77,wait
x5_1,389478,1265.77,start
x5_1,389478,1265.77,end
c4_2,389478,1293.82,wait
i5_4,389478,1293.82,wait
i5_4,389478,1293.82,start
i5_4,389478,1331.86,end
4,389478,1331.86,wait
r3_2,236,1464.0,wait
r3_2,236,1464.0,start
r3_2,236,1468.8,end
m2_1,236,1526.71,wait
m2_1,236,1526.71,start
m2_1,236,1529.71,end
i7_2,236,1587.6200000000001,wait
m2_1,236,1587.6200000000001,start
m2_1,236,1590.6200000000001,end
i6_1,236,1823.47,wait
c4_2,236,2031.07,wait
i6_1,236,2031.07,wait
i6_1,236,2031.07,start
i6_1,236,2057.91,end
4,236,2057.91,wait
r3_5,386542,1518.0,wait
r3_5,386542,1522.8,start
r3_5,386542,1527.6,end
m2_5,386542,1585.51,wait
m2_5,386542,1585.51,start
m2_5,386542,1588.51,end
i7_2,386542,1646.42,wait
m2_5,386542,1646.42,start
m2_5,386542,1649.42,end
i6_1,386542,1882.27,wait
c4_2,386542,2089.87,wait
i6_1,386542,2089.87,wait
i6_1,386542,2089.87,start
i6_1,386542,2116.71,end
4,386542,2116.71,wait
r4_2,384351,1564.0,wait
r4_2,384351,1564.0,start
r4_2,384351,1568.8,end
m2_2,384351,1626.71,wait
m2_2,384351,1626.71,start
m2_2,384351,1629.71,end
i7_2,384351,1687.6200000000001,wait
m2_2,384351,1687.6200000000001,start
m2_2,384351,1690.6200000000001,end
i6_1,384351,1923.47,wait
c4_2,384351,2131.07,wait
i6_1,384351,2131.07,wait
i6_1,384351,2131.07,start
i6_1,384351,2157.9100000000003,end
4,384351,2157.9100000000003,wait
r4_7,384523,1869.0000000000002,wait
r4_7,384523,1869.0000000000002,start
r4_7,384523,1873.8000000000002,end
m2_8,384523,1931.7100000000003,wait
m2_8,384523,1931.7100000000003,start
m2_8,384523,1934.7100000000003,end
i7_2,384523,1992.6200000000003,wait
m2_8,384523,1992.6200000000003,start
m2_8,384523,1995.6200000000003,end
i6_2,384523,2228.4700000000003,wait
c4_2,384523,2436.07,wait
i6_2,384523,2436.07,wait
i6_2,384523,2436.07,start
i6_2,384523,2462.9100000000003,end
4,384523,2462.9100000000003,wait
r1_4,1065,2045.0000000000002,wait
r1_4,1065,2045.0000000000002,start
r1_4,1065,2049.8,end
m1_3,1065,2091.17,wait
m1_3,1065,2091.17,start
m1_3,1065,2094.17,end
i7_1,1065,2135.54,wait
m1_3,1065,2135.54,start
m1_3,1065,2138.54,end
i6_1,1065,2275.43,wait
c4_2,1065,2483.0299999999997,wait
i6_1,1065,2483.0299999999997,wait
i6_1,1065,2483.0299999999997,start
i6_1,1065,2509.87,end
4,1065,2509.87,wait
r4_10,330,2308.0,wait
r4_10,330,2308.0,start
r4_10,330,2312.8,end
m2_10,330,2370.71,wait
m2_10,330,2370.71,start
m2_10,330,2373.71,end
i7_2,330,2431.62,wait
m2_10,330,2431.62,start
m2_10,330,2434.62,end
i6_1,330,2667.47,wait
c4_2,330,2875.0699999999997,wait
i6_1,330,2875.0699999999997,wait
i6_1,330,2875.0699999999997,start
i6_1,330,2901.91,end
4,330,2901.91,wait
r2_2,1576,2664.0,wait
r2_2,1576,2664.0,start
r2_2,1576,2668.8,end
m1_2,1576,2711.0600000000004,wait
m1_2,1576,2711.0600000000004,start
m1_2,1576,2714.0600000000004,end
i7_3,1576,2756.3200000000006,wait
m1_2,1576,2756.3200000000006,start
m1_2,1576,2759.3200000000006,end
i6_2,1576,2896.2100000000005,wait
c4_2,1576,3103.8100000000004,wait
i6_2,1576,3103.8100000000004,wait
i6_2,1576,3103.8100000000004,start
i6_2,1576,3130.6500000000005,end
4,1576,3130.6500000000005,wait
r4_4,384983,2613.0,wait
r4_4,384983,2617.8,start
r4_4,384983,2622.6000000000004,end
m2_4,384983,2680.51,wait
m2_4,384983,2680.51,start
m2_4,384983,2683.51,end
i7_2,384983,2741.42,wait
m2_4,384983,2741.42,start
m2_4,384983,2744.42,end
i6_1,384983,2977.27,wait
c4_2,384983,3184.87,wait
i6_1,384983,3184.87,wait
i6_1,384983,3184.87,start
i6_1,384983,3211.71,end
4,384983,3211.71,wait
r4_4,392407,2613.0,wait
r4_4,392407,2622.6000000000004,start
r4_4,392407,2627.4000000000005,end
m2_4,392407,2685.3100000000004,wait
m2_4,392407,2685.3100000000004,start
m2_4,392407,2688.3100000000004,end
i7_2,392407,2746.2200000000003,wait
m2_4,392407,2746.2200000000003,start
m2_4,392407,2749.2200000000003,end
i6_1,392407,2982.07,wait
c4_2,392407,3189.67,wait
i6_1,392407,3189.67,wait
i6_1,392407,3189.67,start
i6_1,392407,3216.51,end
4,392407,3216.51,wait
r4_3,394259,2762.0,wait
r4_3,394259,2786.000000000001,start
r4_3,394259,2790.800000000001,end
m2_4,394259,2848.710000000001,wait
m2_4,394259,2848.710000000001,start
m2_4,394259,2851.710000000001,end
i7_2,394259,2909.620000000001,wait
m2_4,394259,2915.62,start
m2_4,394259,2918.62,end
i6_1,394259,3151.47,wait
c4_2,394259,3359.0699999999997,wait
i6_1,394259,3359.0699999999997,wait
i6_1,394259,3359.0699999999997,start
i6_1,394259,3385.91,end
4,394259,3385.91,wait
r4_3,394267,2762.0,wait
r4_3,394267,2786.000000000001,start
r4_3,394267,2790.800000000001,end
m2_4,394267,2848.710000000001,wait
m2_4,394267,2848.710000000001,start
m2_4,394267,2851.710000000001,end
i7_2,394267,2909.620000000001,wait
m2_4,394267,2915.62,start
m2_4,394267,2918.62,end
i6_2,394267,3151.47,wait
c4_2,394267,3359.0699999999997,wait
i6_2,394267,3359.0699999999997,wait
i6_2,394267,3359.0699999999997,start
i6_2,394267,3385.91,end
4,394267,3385.91,wait
r3_10,387928,3963.0000000000005,wait
r3_10,387928,3963.0000000000005,start
r3_10,387928,3967.8000000000006,end
m2_9,387928,4025.7100000000005,wait
m2_9,387928,4025.7100000000005,start
m2_9,387928,4028.7100000000005,end
i7_2,387928,4086.6200000000003,wait
m2_9,387928,4086.6200000000003,start
m2_9,387928,4089.6200000000003,end
i6_1,387928,4322.47,wait
c4_2,387928,4530.070000000001,wait
i6_1,387928,4530.070000000001,wait
i6_1,387928,4530.070000000001,start
i6_1,387928,4556.910000000001,end
4,387928,4556.910000000001,wait
r1_1,388960,4162.0,wait
r1_1,388960,4181.200000000001,start
r1_1,388960,4186.000000000001,end
m1_1,388960,4227.370000000001,wait
m1_1,388960,4227.370000000001,start
m1_1,388960,4230.370000000001,end
i7_1,388960,4271.740000000001,wait
m1_1,388960,4271.740000000001,start
m1_1,388960,4274.740000000001,end
i6_2,388960,4411.630000000001,wait
c4_2,388960,4619.230000000001,wait
i6_2,388960,4619.230000000001,wait
i6_2,388960,4619.230000000001,start
i6_2,388960,4646.0700000000015,end
4,388960,4646.0700000000015,wait
r3_1,101072,4188.0,wait
r3_1,101072,4188.0,start
r3_1,101072,4192.8,end
m2_1,101072,4250.71,wait
m2_1,101072,4250.71,start
m2_1,101072,4253.71,end
i7_2,101072,4311.62,wait
m2_1,101072,4311.62,start
m2_1,101072,4314.62,end
i6_1,101072,4547.47,wait
c4_2,101072,4755.070000000001,wait
i6_1,101072,4755.070000000001,wait
i6_1,101072,4755.070000000001,start
i6_1,101072,4781.910000000001,end
4,101072,4781.910000000001,wait
r3_1,385123,4188.0,wait
r3_1,385123,4207.200000000001,start
r3_1,385123,4212.000000000001,end
m2_1,385123,4269.910000000001,wait
m2_1,385123,4269.910000000001,start
m2_1,385123,4272.910000000001,end
i7_2,385123,4330.820000000001,wait
m2_1,385123,4335.62,start
m2_1,385123,4338.62,end
i6_2,385123,4571.47,wait
c4_2,385123,4779.070000000001,wait
i6_2,385123,4779.070000000001,wait
i6_2,385123,4779.070000000001,start
i6_2,385123,4805.910000000001,end
4,385123,4805.910000000001,wait
r3_1,385446,4188.0,wait
r3_1,385446,4221.600000000001,start
r3_1,385446,4226.4000000000015,end
m2_1,385446,4284.310000000001,wait
m2_1,385446,4284.310000000001,start
m2_1,385446,4287.310000000001,end
i7_2,385446,4345.220000000001,wait
m2_1,385446,4353.62,start
m2_1,385446,4356.62,end
i6_1,385446,4589.47,wait
c4_2,385446,4797.070000000001,wait
i6_1,385446,4797.070000000001,wait
i6_1,385446,4797.070000000001,start
i6_1,385446,4823.910000000001,end
4,385446,4823.910000000001,wait
r3_1,392707,4188.0,wait
r3_1,392707,4250.400000000002,start
r3_1,392707,4255.200000000003,end
m2_1,392707,4313.110000000002,wait
m2_1,392707,4314.62,start
m2_1,392707,4317.62,end
i7_2,392707,4375.53,wait
m2_1,392707,4377.62,start
m2_1,392707,4380.62,end
i6_2,392707,4613.47,wait
c4_2,392707,4821.070000000001,wait
i6_2,392707,4821.070000000001,wait
i6_2,392707,4821.070000000001,start
i6_2,392707,4847.910000000001,end
4,392707,4847.910000000001,wait
