queue_id,package_id,time_stamp,action
m1_i2,391509,11137.259999999993,start
m1_i2,391509,11283.799999999994,end
i2_c2,391509,11283.799999999994,start
i2_c2,391509,11321.839999999995,end
r2_m1,391514,10833.999999999898,start
r2_m1,391514,10876.259999999898,end
r2_m1,391514,10984.259999999993,start
r2_m1,391514,11026.519999999993,end
m1_i2,391514,11158.259999999993,start
m1_i2,391514,11304.799999999994,end
i2_c2,391514,11304.799999999994,start
i2_c2,391514,11342.839999999995,end
r2_m1,391528,10862.799999999894,start
r2_m1,391528,10905.059999999894,end
r2_m1,391528,11017.259999999993,start
r2_m1,391528,11059.519999999993,end
m1_i2,391528,11197.259999999993,start
m1_i2,391528,11343.799999999994,end
i2_c2,391528,11343.799999999994,start
i2_c2,391528,11381.839999999995,end
r2_m1,391533,10877.199999999892,start
r2_m1,391533,10919.459999999892,end
r2_m1,391533,11035.259999999993,start
r2_m1,391533,11077.519999999993,end
m1_i2,391533,11215.259999999993,start
m1_i2,391533,11361.799999999994,end
i2_c2,391533,11361.799999999994,start
i2_c2,391533,11399.839999999995,end
r2_m1,391838,10958.79999999988,start
r2_m1,391838,11001.05999999988,end
r2_m1,391838,11128.259999999993,start
r2_m1,391838,11170.519999999993,end
m1_i2,391838,11326.259999999993,start
m1_i2,391838,11472.799999999994,end
i2_c2,391838,11472.799999999994,start
